Dato,Faktisk,ETS,ARIMA,SARIMA
2025-01-01,600.0,568.0038651126472,755.21285067129,543.2564453889631
2025-02-01,543.0,985.1286542699927,774.7195736811656,1122.9020952737374
2025-03-01,941.0,754.9442773805293,777.9938436124686,948.698613642444
2025-04-01,1066.0,1009.6970808920917,778.5434409783412,1007.6629971165933
2025-05-01,1072.0,870.3959486410378,778.635692769095,989.7864823704657
2025-06-01,878.0,807.379948027324,778.6511775465444,884.3375875496394
2025-07-01,875.0,726.8281252988277,778.6537767192076,779.4679468616688
2025-08-01,1168.0,993.1557964721285,778.6542129991965,1052.7902972829208
2025-09-01,1437.0,945.8900965154496,778.6542862302794,982.0789572564609
2025-10-01,693.0,662.4063302772438,778.6542985223662,741.2114102249532
2025-11-01,906.0,649.0086097414035,778.6543005856348,811.0324725725685
2025-12-01,621.0,656.943998356518,778.6543009319615,667.0333173078577
